code	metric	C_n	C_mean	C_sd	D_n	D_mean	D_sd	W_n	W_mean	W_sd	I_n	I_mean	I_sd	N_n	N_mean	N_sd	IN_n	IN_mean	IN_sd	WN_n	WN_mean	WN_sd	LAT	LON	stable	term	site.MAT	site.MAP	ECO	AT_net	GST_net	D_net	I_net	N_net	WI_net	WN_net	DN_net	IN_net
Alatalo et al., 2015_94	COV	3	45.26829268	6.952888115	0	NA	NA	3	54.53658537	11.35946644	0	NA	NA	3	51.41463415	13.19455839	0	NA	NA	3	59.51219512	9.403886196	68.35	18.48	1	2	NA	NA	arc	2.2	NA	NA	NA	5	NA	11	NA	NA
Alatalo et al., 2015_94	H	3	1.260204082	0.114880921	0	NA	NA	3	0.954081633	0.154078254	0	NA	NA	3	1.163265306	0.17249124	0	NA	NA	3	0.969387755	0.153316114	68.35	18.48	1	2	NA	NA	arc	2.2	NA	NA	NA	5	NA	11	NA	NA
Alatalo et al., 2015_94	Ratio_S	3	0.84	0.051961524	0	NA	NA	3	0.88	0.026457513	0	NA	NA	3	0.460909929	0.319026322	0	NA	NA	3	0.485107712	0.360696971	68.35	18.48	1	2	NA	NA	arc	2.2	NA	NA	NA	5	NA	11	NA	NA
Alatalo et al., 2015_94	SP	3	6.336283186	0.530672703	0	NA	NA	3	5.775637689	0.787761131	0	NA	NA	3	5.571056741	0.514822338	0	NA	NA	3	4.7548152	1.017980226	68.35	18.48	1	2	NA	NA	arc	2.2	NA	NA	NA	5	NA	11	NA	NA
Alon and Sternberg (2019)_36	SP	1	49.8	11.43	1	50.2	7.16	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	31.71	35.06	1	1	17.7	540	Med & Des	NA	NA	-379.5	NA	NA	NA	NA	NA	NA
Alon and Sternberg (2019)_36	H	1	1.95	0.79	1	1.83	0.37	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	31.71	35.06	1	1	17.7	540	Med & Des	NA	NA	-379.5	NA	NA	NA	NA	NA	NA
Alon and Sternberg (2019)_36	AGB	1	134.27	50.23	1	103.66	35.75	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	31.71	35.06	1	1	17.7	540	Med & Des	NA	NA	-379.5	NA	NA	NA	NA	NA	NA
Anadon-Rosell et al 2017_48	COV	2	93.5	6.363961031	0	NA	NA	2	96.5	4.949747468	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	42.45	0.95	1	1	3	1146.4	Alp	NA	1.1	NA	NA	NA	NA	NA	NA	NA
Anadon-Rosell et al 2017_48	Ratio_S	2	74.47833066	4.313010865	0	NA	NA	2	78.05913979	6.987431526	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	42.45	0.95	1	1	3	1146.4	Alp	NA	1.1	NA	NA	NA	NA	NA	NA	NA
Anadon-Rosell et al 2017_49	Ratio_S	2	87.48710011	0.328377766	0	NA	NA	2	88.2002851	0.700554829	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	42.45	0.95	1	1	3	1146.4	Alp	NA	1.1	NA	NA	NA	NA	NA	NA	NA
