"code";"metric";"sen";"Treat";"term";"stable";"lat";"lon";"AI";"MAT";"pre_S";"MAP";"maxT_m";"meanT_Q";"Pdry_Q";"mean_10cm.sm";"mean_40cm.sm";"mean_1m.sm"
"Alatalo et al., 2015_94";"COV";9.30642633999238;"W";"2";"1";68.35;18.48;1.6477;-2.24583329757055;23.3177445267475;722;12.8000001907349;8.28333334128062;130;32.20916715;58.09020031;89.2836609
"Alatalo et al., 2015_94";"H";-11.0415899864759;"W";"2";"1";68.35;18.48;1.6477;-2.24583329757055;23.3177445267475;722;12.8000001907349;8.28333334128062;130;32.20916715;58.09020031;89.2836609
"Alatalo et al., 2015_94";"Ratio_S";2.16450216450217;"W";"2";"1";68.35;18.48;1.6477;-2.24583329757055;23.3177445267475;722;12.8000001907349;8.28333334128062;130;32.20916715;58.09020031;89.2836609
"Alatalo et al., 2015_94";"SP";-4.02189824526456;"W";"2";"1";68.35;18.48;1.6477;-2.24583329757055;23.3177445267475;722;12.8000001907349;8.28333334128062;130;32.20916715;58.09020031;89.2836609
"Alatalo et al., 2015_94";"SP";-2.4153795609728;"N";"2";"1";68.35;18.48;1.6477;-2.24583329757055;23.3177445267475;722;12.8000001907349;8.28333334128062;130;32.20916715;58.09020031;89.2836609
"Alatalo et al., 2015_94";"H";-2.09790210067665;"WN";"2";"1";68.35;18.48;1.6477;-2.24583329757055;23.3177445267475;722;12.8000001907349;8.28333334128062;130;32.20916715;58.09020031;89.2836609
"Alatalo et al., 2015_94";"Ratio_S";-3.84082562770563;"WN";"2";"1";68.35;18.48;1.6477;-2.24583329757055;23.3177445267475;722;12.8000001907349;8.28333334128062;130;32.20916715;58.09020031;89.2836609
"Alatalo et al., 2015_94";"SP";-2.26899292043559;"WN";"2";"1";68.35;18.48;1.6477;-2.24583329757055;23.3177445267475;722;12.8000001907349;8.28333334128062;130;32.20916715;58.09020031;89.2836609
"Alatalo et al., 2015_94";"Ratio_S";-9.02595407142857;"N";"2";"1";68.35;18.48;1.6477;-2.24583329757055;23.3177445267475;722;12.8000001907349;8.28333334128062;130;32.20916715;58.09020031;89.2836609
"Alatalo et al., 2015_94";"COV";2.86050156777899;"WN";"2";"1";68.35;18.48;1.6477;-2.24583329757055;23.3177445267475;722;12.8000001907349;8.28333334128062;130;32.20916715;58.09020031;89.2836609
"Alatalo et al., 2015_94";"COV";2.71551724446436;"N";"2";"1";68.35;18.48;1.6477;-2.24583329757055;23.3177445267475;722;12.8000001907349;8.28333334128062;130;32.20916715;58.09020031;89.2836609
"Alatalo et al., 2015_94";"H";-1.53846154578636;"N";"2";"1";68.35;18.48;1.6477;-2.24583329757055;23.3177445267475;722;12.8000001907349;8.28333334128062;130;32.20916715;58.09020031;89.2836609
"Alon and Sternberg (2019)_36";"H";-1.62156683895814;"D";"1";"1";31.71;35.06;0.2178;17.2791666487853;109.28250997483;429;29.1000003814697;23.8999999364217;0;23.11230878;59.03834673;102.1671854
"Alon and Sternberg (2019)_36";"SP";0.211650290225463;"D";"1";"1";31.71;35.06;0.2178;17.2791666487853;109.28250997483;429;29.1000003814697;23.8999999364217;0;23.11230878;59.03834673;102.1671854
"Alon and Sternberg (2019)_36";"AGB";-6.00720648903901;"D";"1";"1";31.71;35.06;0.2178;17.2791666487853;109.28250997483;429;29.1000003814697;23.8999999364217;0;23.11230878;59.03834673;102.1671854
"Anadon-Rosell et al 2017_48";"Ratio_S";4.37077603435202;"W";"1";"1";42.45;0.95;1.4606;2.77499996125698;19.7602381551109;1402;13.3999996185303;10.2999999523163;261;25.94061182;51.07927999;81.55661462
"Anadon-Rosell et al 2017_48";"COV";2.91686922702965;"W";"1";"1";42.45;0.95;1.4606;2.77499996125698;19.7602381551109;1402;13.3999996185303;10.2999999523163;261;25.94061182;51.07927999;81.55661462
"Anadon-Rosell et al 2017_49";"COV";8.83838383838384;"W";"1";"1";42.45;0.95;1.4606;2.77499996125698;19.7602381551109;1402;13.3999996185303;10.2999999523163;261;25.94061182;51.07927999;81.55661462
"Anadon-Rosell et al 2017_49";"Ratio_S";0.741080673715215;"W";"1";"1";42.45;0.95;1.4606;2.77499996125698;19.7602381551109;1402;13.3999996185303;10.2999999523163;261;25.94061182;51.07927999;81.55661462
"Anadon-Rosell et al 2017_50";"COV";-5.19480519480519;"W";"1";"1";42.45;0.95;1.4606;2.77499996125698;19.7602381551109;1402;13.3999996185303;10.2999999523163;261;25.94061182;51.07927999;81.55661462
"Anadon-Rosell et al 2017_50";"Ratio_S";4.74800186475024;"W";"1";"1";42.45;0.95;1.4606;2.77499996125698;19.7602381551109;1402;13.3999996185303;10.2999999523163;261;25.94061182;51.07927999;81.55661462
"Baez et al., 2013_10";"SP";-9.22375285922024;"D";"2";"1";34.5;-106.9;0.0986;13.6291665732861;67.1784218909672;218;35.2999992370605;24.3166664441427;26;14.08164922;30.82427876;47.85434165
"Baez et al., 2013_10";"COV";-23.2441325663323;"D";"2";"1";34.5;-106.9;0.0986;13.6291665732861;67.1784218909672;218;35.2999992370605;24.3166664441427;26;14.08164922;30.82427876;47.85434165
"Baez et al., 2013_10";"Ratio_S";9.23020028961391;"D";"2";"1";34.5;-106.9;0.0986;13.6291665732861;67.1784218909672;218;35.2999992370605;24.3166664441427;26;14.08164922;30.82427876;47.85434165
